time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-26 19:00:38,ESPORTSUSDT,空,0.324310,0.349690,92.0000,-2.3350,-23.48
2026-03-26 19:00:38,GASUSDT,多,1.588000,1.540000,18.8000,-0.9024,-9.07
2026-03-26 19:00:38,BRUSDT,多,0.146630,0.169433,204.0000,4.6519,46.65
2026-03-26 19:00:38,SIRENUSDT,空,2.265370,2.012048,13.0000,3.2932,33.55
2026-03-26 19:00:38,PROVEUSDT,空,0.292200,0.263315,102.6000,2.9636,29.66
2026-03-26 19:00:38,CYSUSDT,多,0.414000,0.355787,72.0000,-4.1914,-42.18
2026-03-26 19:00:38,TRIAUSDT,多,0.033900,0.030620,885.0000,-2.9028,-29.03
2026-03-26 19:00:38,NAORISUSDT,空,0.064925,0.060479,462.0000,2.0542,20.54
2026-03-26 19:00:38,ONTUSDT,多,0.061300,0.054154,489.3000,-3.4964,-34.97
2026-03-26 19:00:38,RIVERUSDT,多,20.731000,19.596306,1.4000,-1.5886,-16.42
2026-03-26 19:00:38,SIGNUSDT,多,0.038440,0.031580,779.0000,-5.3439,-53.54
2026-03-26 19:00:38,SUPERUSDT,空,0.131800,0.122006,227.0000,2.2231,22.29
2026-03-26 19:00:38,DYDXUSDT,空,0.088000,0.084414,338.9000,1.2153,12.22
2026-03-26 19:00:38,DUSKUSDT,多,0.115820,0.118567,258.0000,0.7088,7.12
2026-03-26 20:00:54,MONUSDT,空,0.026620,0.024467,1126.0000,2.4240,24.26
2026-03-26 20:00:54,NIGHTUSDT,多,0.044600,0.044967,672.0000,0.2467,2.47
2026-03-26 20:00:54,HUMAUSDT,多,0.019136,0.017582,1567.0000,-2.4358,-24.37
2026-03-26 20:00:54,MANTRAUSDT,空,0.013050,0.012260,2298.0000,1.8154,18.16
2026-03-26 20:00:54,ONDOUSDT,空,0.269600,0.254500,111.2000,1.6791,16.80
2026-03-26 20:00:54,PIPPINUSDT,多,0.049181,0.059357,609.0000,6.1974,62.08
2026-03-26 20:00:54,TRADOORUSDT,空,2.240000,2.440939,13.0000,-2.6122,-26.91
2026-03-26 20:00:54,ZECUSDT,多,232.080000,220.382632,0.1290,-1.5090,-15.12
2026-03-26 20:00:54,AXLUSDT,多,0.050100,0.047438,598.8000,-1.5940,-15.94
2026-03-26 20:00:54,币安人生USDT,多,0.048550,0.047010,617.0000,-0.9504,-9.52
2026-03-26 20:00:54,DOTUSDT,多,1.357000,1.312235,22.1000,-0.9893,-9.90
2026-03-26 20:00:54,ZROUSDT,多,2.144100,2.054100,13.9000,-1.2510,-12.59
2026-03-26 20:00:54,MUSDT,空,2.452700,2.128200,12.0000,3.8940,39.69
2026-03-26 20:00:54,ZKCUSDT,空,0.079470,0.072656,377.0000,2.5689,25.72
2026-03-26 20:00:54,RESOLVUSDT,多,0.044090,0.040050,680.0000,-2.7472,-27.49
2026-03-26 20:00:54,COLLECTUSDT,多,0.071870,0.060066,417.0000,-4.9222,-49.27
2026-03-26 20:00:54,BEATUSDT,空,0.663100,0.551829,45.0000,5.0072,50.34
2026-03-26 20:00:54,JCTUSDT,多,0.002696,0.002874,11128.0000,1.9766,19.76
2026-03-26 20:00:54,BSBUSDT,空,0.166580,0.150867,180.0000,2.8283,28.30
2026-03-26 20:00:54,KASUSDT,空,0.038630,0.036660,776.0000,1.5287,15.30
